Name,Price,Descriptions
Платье-рубашка из вискозы ELIS,"
                6 999 ₽            ","Лаконичное платье-рубашка оттенка горький шоколад выполнено из лёгкого вискозного полотна. Модель прямого силуэта, с воротником рубашечного типа, со спущенной линией плеча, свободным втачным коротким рукавом и центральной застёжкой на планку с пуговицами. По шву притачивания кокетки спереди легкая драпировка. Линию талии можно подчеркнуть поясом-лентой из основного материала с декоративным украшением. Образ можно дополнить как обувью на каблуке, так и кедами."
Джинсовая куртка ELIS,"
                8 999 ₽            ","Актуальная куртка базового белого цвета с крупными металлическими пуговицами. Выполнена из плотного хлопкового денима, особое переплетение нитей обеспечивает ткани прочность и износостойкость. Модель прямого силуэта, увеличенного объёма и слегка укороченной длины со стояче-отложным воротником, втачным рукавом со сборкой по линии плеча и манжетом с пуговицами. Рельефы спереди и по спинке формируют удачную посадку, завершают дизайн накладные карманы с клапанами. С юбкой-миди из того же материала составят однотонный тотал-лук в стиле кэжуал."
Топ на тонких бретелях ELIS,"
                3 999 ₽            ","Топ из эффектной атласной ткани универсального чёрного цвета. Модель минималистичного кроя, полуприлегающего силуэта, с прямым вырезом переда и спинки. Такой силуэт в сочетании с цветом выгодно подчеркивает линию плеч. Стильная базовая вещь, которая сочетается как с деловым так и неформальным гардеробом. Идеальна в комплекте с широкими черными брюками из той же капсулы."
Джинсовая юбка на пуговицах ELIS,"
                6 999 ₽            ","Лаконичная юбка базового белого цвета с застёжкой на крупные металлические пуговицы. Выполнена из плотного хлопкового денима, особое переплетение нитей обеспечивает ткани прочность и износостойкость. Модель прямого силуэта, с притачным поясом со шлёвками под ремень и французскими карманами. Моделирующие талиевые вытачки формируют комфортную посадку по фигуре. С легкой курткой из того же материала составят однотонный тотал-лук в стиле кэжуал."
Топ на бретелях ELIS,"
                3 999 ₽            ",Топ полуприлегающего силуэта на бретелях. Спереди фигурный треугольный вырез и диагональные подрезы.
Брюки изо льна ELIS,"
                6 999 ₽            ","Лаконичные брюки универсального черного цвета выполнены из фирменного льняного полотна. Дышащий материал не препятствует циркуляции воздуха и не позволит коже перегреться. Модель прямого кроя, с застежкой на пуговицу и молнию, и карманами в боковых швах. Притачной пояс с комфортной резинкой сзади и легкими защипами спереди обеспечивают удобную посадку по фигуре. Графичные стрелки выстраивают вертикаль, визуально вытягивающую силуэт. Брюки в стиле смарт кэжуал можно дополнить контрастным топом или классической блузой."
Топ на тонких бретелях ELIS,"
                3 999 ₽            ","Топ из эффектной атласной ткани нежно-розового цвета. Модель минималистичного кроя, полуприлегающего силуэта, с прямым вырезом переда и спинки. Силуэт выгодно подчеркивает линию плеч. Стильная базовая вещь, которая сочетается как с деловым так и неформальным гардеробом. Идеальна в комплекте с широкими черными брюками из той же капсулы."
Свободные брюки из вискозы ELIS,"
                6 999 ₽            ","Стильные брюки из мягкой экологичной вискозы практичного черного цвета. Свободная модель, расклешенная от бедра, с удобным поясом на резинке, люверсами и декоративным шнурком, украшенным металлическими наконечниками. По бокам вместительные карманы, спереди простроченные стрелки. Брюки легко сочетать как с футболками, так и с белыми рубашками и трикотажем."
Рубашка со льном ELIS,"
                6 999 ₽            ","Удлиненная рубашка насыщенного салатового оттенка выполнена из легко материала премиального качества. Дышащая вискоза приятна к коже, натуральные льняные волокна поддерживают оптимальную температуру и придают ткани неповторимую текстуру. Модель прямого силуэта, с отложным воротником с заострёнными лацканами, спущенной линией плеча и втачным рукавом с имитацией манжета. Дополнена декоративными клапанам на груди, навесной верхней петлей из основного материала и разрезами в боковых швах. Образ можно завершить комфортными брюками, джинсами или юбкой."
Джинсы прямые ELIS,"
                5 999 ₽            ","Лаконичные джинсы ""5 карманов"" оттенка оптический белый выполнены из лёгкого денима премиального качества. Дышащий хлопковый материал тянется, обеспечивая комфортную посадку по фигуре. Модель прилегающего силуэта, с притачным поясом со шлевками под ремень, боковыми карманами с фигурным входом, декоративным часовым карманом и накладными американскими сзади. Базовую модель можно дополнить легкой блузой или актуальным топом."
Вязаный топ из вискозы ELIS,"
                3 999 ₽            ","Вязаный топ эффектного прилегающего силуэта из фактурного тонкого вязаного полотна на основе экологичной вискозы светлого-лилового оттенка. Лаконичная модель с горловиной ""американка"". Топ входит в базовый повседневный гардероб и может стать универсальной основой костюмов для офиса и путешествий в сочетании с юбками, брюками и жакетами."
