Name,Price,Descriptions
Легкий жакет на пуговицах LALIS,"
                11 999 ₽            ","Актуальный жакет деликатного серо-бежевого оттенка выполнен из фирменного лёгкого полотна с добавлением дышащего хлопка и мягкой вискозы. Модель полуприлегающего кроя, с цельнокроеным укороченным рукавом, воротником пиджачного типа с заострёнными лацканами, однобортной застёжкой на пуговицы и крупными накладными карманами. Пояс-лента из основного материал делает акцент на талии и формирует изящный силуэт. Составят однотонный тотал-лук в стиле смарт кэжуал с брюками из той же коллекции."
Брюки укороченные со стрелками LALIS,"
                7 999 ₽            ","Брюки с застроченными стрелками деликатного серо-бежевого оттенка. Выполнены из миксового материала на осносве прочного полиэстера, дышащего хлопка, мягкой вискозы и текстурных льняных волокон. Модель прямого силуэта, с притачным поясом со шлевками под ремень и небольшими разрезами по бокам снизу. Графичные застроченные стрелки выстраивают вертикаль, визуально вытягивая силуэт. Составят однотонный тотал-лук в стиле смарт кэжуал с жакетом из этой же коллекции."
Юбка А-силуэта с принтом LALIS,"
                5 999 ₽            ","Элегантная юбка на запах в серо-коричневых тонах с авторским принтом с флористическим мотивом. Выполнена из невесомого полотна на основе модифицированной вискозы и нейлона. Модель А-силуэта, на подкладке, с комфортным притачным поясом и лёгкими драпировками на подоле. Образ можно дополнить базовыми топами или легкими блузами."
Жакет в рубашечном стиле LALIS,"
                9 999 ₽            ","Жакет сдержанного светло-бежевого оттенка выполнена из смесовой костюмной ткани с деликатным клетчатым принтом. Модель прямого силуэта, с отложным воротником с лацканами, спущенной линией плеча, однобортной застёжкой на пуговицы и декоративными накладными карманами с клапанами на груди. Составит однотонный тотал-лук в стиле кэжуал с брюками из того же материала."
Футболка трикотажная с принтом LALIS,"
                3 499 ₽            ","Футболка молочного оттенка с контрастным дизайнерским принтом на груди. Выполнена из фирменного трикотажа на основе хлопка и модифицированной вискозы. Модель прямого силуэта, с цельнокроеным рукавом и круглой горловиной, обработанной бейкой. Свободный крой обеспечивает удачную посадку на любой тип фигуры. Универсальная футболка дополнит городской образ любой сложности."
Брюки прямые LALIS,"
                6 999 ₽            ",Комфортные брюки сдержанного светло-бежевого оттенка выполнены из смесовой костюмной ткани с деликатным клетчатым принтом. Модель прямого силуэта с боковыми карманами и заутюженными стрелками. Эластичный притачной пояс-резинка с кулиской обеспечивает удобную посадку на любой тип фигуры. Составят однотонный тотал-лук в стиле кэжуал с жакетом из этой же коллекции.
Блуза в полоску LALIS,"
                3 999 ₽            ","Блуза в вертикальную полоску в бежево-коричневых тонах. Перед выполнен из легкой ткани на основе мягкой вискозы и купры. Сзади однотонный трикотаж на основе хлопка. Модель прямого силуэта, с коротким цельнокроеным рукавом и круглой горловиной. Необычная блуза дополнит как нестрогий деловой образ, так и городской лук."
Платье-миди в полоску LALIS,"
                7 999 ₽            ","Элегантное платье-миди с принтом в вертикальную полоску. Выполнено из гладкой летящей ткани на основе мягкой вискозы и купры. Модель прямого силуэта, с планкой из трикотажа и цельнокроеным рукавом с манжетом-подворотом. Пояс-лента из основного материала удачно подчёркивает линию талии, формируя утонченный силуэт. Образ можно дополнить открытыми босоножками или классическими лодочками."
Футболка трикотажная с принтом LALIS,"
                3 499 ₽            ","Футболка лилового оттенка с дизайнерским принтом на полочке. Выполнена из фирменного трикотажа на основе хлопка. Модель прямого силуэта, с цельнокроеным рукавом и круглой горловиной, обработанной бейкой. Свободный крой обеспечивает удачную посадку на любой тип фигуры. Лаконичная модель футболки станет основой гардероба и дополнит городской образ любой сложности."
Джинсы из эластичного хлопка LALIS,"
                6 999 ₽            ","Лаконичные джинсы насыщенного сливового оттенка из денима на основе хлопка с добавлением эластана. Модель прямого силуэта с боковыми карманами спереди, накладными американскими сзади, притачным поясом со шлевками под ремень и декоративной нашивкой из экокожи. Джинсы удачно впишутся в повседневный гардероб."
Рубашка изо льна LALIS,"
                6 999 ₽            ","Актуальная рубашка нежного лавандового оттенка выполнена из льняного полотна премиального качества. Модель прямого силуэта, со спущенной линией плеча, длинным втачным рукавом с манжетом, стояче-отложным воротником, центральной застёжкой на пуговицы и накладным карманом на груди. Комфортная рубашка дополнит как лук в стиле кэжуал, так и станет альтернативой классической рубашке для нестрого офисного образа."
Шорты льняные LALIS,"
                5 999 ₽            ","Шорты-бермуды из лёгкой льняной ткани сиреневого оттенка. Модель классического кроя: стрелки без защипов, застёжка на молнию и пуговицы, притачной пояс со шлевками под ремень, косые французские карманы по бокам. Элегантная модель подходит как для офиса, так и для отдыха. Шорты составят комплект с блузой из той же коллекции."
Фактурный джемпер с кулиской LALIS,"
                3 999 ₽            ","Фактурный вязаный джемпер универсального белого цвета. Выполнен из фирменной хлопковой пряжи, особое переплетение нитей обеспечивает эластичность и прочность изделия. Модель полуприлегающего силуэта, среднего объёма, со спущенной линией плеча, коротким цельновязаным рукавом с манжетом и круглой горловиной с окантовкой. Комфортный пояс с кулиской обеспечивает удобную посадку. Уютный джемпер удачно впишется в повседневный гардероб."
Жакет укороченный из трикотажа LALIS,"
                7 999 ₽            ","Укороченный жакет деликатного лавандового оттенка выполнен из фактурного трикотажа ""пике"" на основе хлопка. Модель полуприлегающего силуэта, со стояче-отложным воротником с заострёнными лацканами, длинным втачным рукавом и однобортной застёжкой на пуговицы. Жакет на частичной подкладке составит однотонный тотал-лук в стиле смарт кэжуал с брюками из этой же коллекции."
Брюки-палаццо LALIS,"
                5 999 ₽            ","Брюки-палаццо деликатного лавандового оттенка выполнены из фактурного трикотажа ""пике"" на основе хлопка. Модель с комфортной завышенной посадкой, боковыми карманами и заутюженными стрелками. Составят однотонный тотал-лук в стиле смарт кэжуал с укорочённым жакетом из той же коллекции."
Легкий вязаный джемпер LALIS,"
                4 999 ₽            ","Вязаный джемпер в светло-бежевых тонах в горизонтальную полоску. Выполнен из мягкой хлопковой пряжи премиального качества. Модель прямого силуэта, среднего объёма, со спущенной линией плеча, коротким втачным рукавом и круглой горловиной. Низ изделия, манжеты и горловина окантованы вязанной бейкой-трубкой. Джемпер легко сочетать с брюками, джинсами или юбками-миди."
Блуза вязаная с монилью LALIS,"
                4 999 ₽            ",Блуза вязаная нежного фиолетового цвета. Модель свободного силуэта со спущенным рукавом 3/4 и круглой горловиной. На полочке деликатное украшение - имитация кармана монилью. Модель подойдет для любого образа на каждый день.
Юбка-миди с кулиской LALIS,"
                5 499 ₽            ","Лаконичная юбка кофейного оттенка выполнена из вискозного полотна премиального качества. Модель А-силуэта, длины миди, с боковым карманом с отстрочкой и втречной складкой спереди, создающей красивый рельеф. Эластичный пояс с кулиской обеспечивает комфортную посадку на любой тип фигуры. Образ можно дополнить лёгкой блузой или фактурным трикотажем."
Рубашка в полоску LALIS,"
                5 999 ₽            ","Укороченная блуза лилового оттенка с принтом в вертикальную полоску. Выполнена из легкого дышащего полотна на основе мягкой вискозы. Модель прямого силуэта, со спущенной линией плеча, коротким цельнокроеным рукавом с отворотом и стояче-отложным воротником. Удлиненные полы завязываются в комфортный узел, подчеркивая линию талии. Образ можно дополнить джинсами, брюками или юбкой."
Футболка трикотажная с принтом LALIS,"
                3 499 ₽            ","Футболка коричневого цвета с контрастным дизайнерским принтом на груди. Выполнена из мягкого трикотажа на основе  вискозы. Модель свободного силуэта, с подвязом по горловине и спцщенной линией плеча. Свободный крой обеспечивает удачную посадку на любой тип фигуры. Универсальная футболка дополнит городской образ любой сложности."
Брюки синего цвета из хлопка LALIS,"
                6 999 ₽            ","Комфортные брюки небесно-голубого цвета выполнены из плотного хлопкового полотна. Лёгкий дышащий хлопок с добавлением эластана обеспечивает не сковывающую движений посадку. Брюки зауженные к низу, с притачным поясом и со шлевками под ремень. Повседневные брюки удачно впишутся в любой летний гардероб."
Футболка из вискозы ELIS,"
                2 999 ₽            ","Базовая футболка насыщенного бирюзового оттенка с авторским принтом на груди. Выполнена из лёгкого и приятного вискозного трикотажа. Модель прямого силуэта, с коротким цельнокроеным рукавом и круглым вырезом горловины. Универсальная футболка в стиле кэжуал дополнит городской образ любой сложности. Легко сочетать с брюками, джинсами или юбками."
